country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,critical,cases_per_1M,deaths_per_1M,total_tests,tests_per_1M
Morocco,"1,374",99,97,4,109,"1,168",1,37,3,"6,116",166
Moldova,"1,289",115,29,2,50,"1,210",80,320,7,"5,108","1,266"
New Zealand,"1,239",29,1,,317,921,4,257,0.2,"51,165","10,610"
Iraq,"1,232",30,69,,496,667,,31,2,"30,466",757
Estonia,"1,207",22,24,,83,"1,100",9,910,18,"26,416","19,914"
Slovenia,"1,124",33,43,3,128,953,34,541,21,"31,813","15,303"
Hungary,980,85,66,8,96,818,17,101,7,"27,826","2,880"
Hong Kong,974,13,4,,293,677,14,130,0.5,"96,709","12,900"
Lithuania,955,43,16,1,8,931,21,351,6,"32,809","12,052"
Azerbaijan,926,104,9,1,101,816,27,91,0.9,"57,371","5,658"
Armenia,921,40,10,1,138,773,30,311,3,"5,823","1,965"
Kuwait,910,55,1,,111,798,22,213,0.2,,
Bahrain,887,64,5,,519,363,3,521,3,"55,096","32,379"
Bosnia and Herzegovina,858,54,35,1,101,722,4,262,11,"6,911","2,106"
Cameroon,803,73,12,2,61,730,,30,0.5,,
Kazakhstan,781,54,8,1,60,713,21,42,0.4,"59,371","3,162"
Diamond Princess,712,,11,,619,82,10,,,,
Slovakia,701,19,2,,23,676,5,128,0.4,"21,371","3,914"
North Macedonia,663,46,30,1,37,596,15,318,14,"6,571","3,154"
Tunisia,643,15,25,1,25,593,78,54,2,"9,570",810
Bulgaria,618,25,24,,48,546,32,89,3,"15,899","2,288"
Latvia,589,12,3,1,16,570,3,312,2,"25,458","13,497"
Andorra,583,19,25,2,58,500,17,"7,545",324,"1,673","21,653"
Lebanon,582,6,19,,67,496,29,85,3,"12,524","1,835"
Uzbekistan,582,37,3,,38,541,8,17,0.09,"70,000","2,091"
Cyprus,564,38,10,1,53,501,13,467,8,"14,273","11,822"
Costa Rica,539,37,3,,30,506,13,106,0.6,"6,298","1,236"
Cuba,515,58,15,3,28,472,15,45,1,"9,410",831
Afghanistan,484,40,15,1,32,437,,12,0.4,,
Oman,457,38,3,1,109,345,3,89,0.6,,
Uruguay,456,,7,,192,257,14,131,2,"6,175","1,778"
Ivory Coast,444,60,3,,52,389,,17,0.1,,
Burkina Faso,443,29,24,1,146,273,,21,1,,
Niger,410,68,11,,40,359,,17,0.5,"4,251",176
Albania,409,9,23,1,165,221,7,142,8,"3,223","1,120"
Taiwan,380,1,5,,80,295,,16,0.2,"42,315","1,777"
Ghana,378,65,6,,3,369,2,12,0.2,"12,046",388
Jordan,372,14,7,1,161,204,5,36,0.7,"17,000","1,666"
Réunion,362,,,,40,322,4,404,,,
Channel Islands,361,10,8,,40,313,,"2,076",46,"1,157","6,655"
Honduras,343,31,23,1,6,314,10,35,2,,
Malta,337,38,2,1,16,319,4,763,5,"13,732","31,100"
San Marino,333,25,34,,49,250,14,"9,814","1,002",846,"24,933"
Bangladesh,330,112,21,1,33,276,1,2,0.1,"6,175",37
Mauritius,314,41,7,,23,284,3,247,6,"6,730","5,292"
Nigeria,288,12,7,1,51,230,2,1,0.03,"5,000",24
Kyrgyzstan,280,10,4,,35,241,5,43,0.6,"9,618","1,474"
Bolivia,264,54,18,3,2,244,3,23,2,591,51
Palestine,263,,1,,44,218,,52,0.2,"16,068","3,150"
Vietnam,255,4,,,128,127,8,3,,"114,241","1,174"
Montenegro,252,4,2,,4,246,7,401,3,"2,329","3,708"
Senegal,250,6,2,,123,125,1,15,0.1,,
Georgia,218,7,3,,51,164,6,55,0.8,"3,271",820
Guinea,194,30,,,11,183,,15,,,
Sri Lanka,190,1,7,,49,134,5,9,0.3,"3,248",152
Isle of Man,190,32,1,,92,97,12,"2,234",12,"1,879","22,097"
Kenya,184,5,7,1,12,165,2,3,0.1,"5,278",98
Mayotte,184,,2,,26,156,4,674,7,"1,100","4,032"
Faeroe Islands,184,,,,136,48,,"3,766",,"5,299","108,446"
DRC,180,,18,,9,153,,2,0.2,,
Venezuela,171,4,9,,84,78,6,6,0.3,"139,282","4,898"
Martinique,154,,6,,50,98,19,410,16,,
Guadeloupe,143,2,8,,67,68,13,357,20,,
Djibouti,140,5,1,1,28,111,,142,1,"3,399","3,440"
Brunei,135,,1,,92,42,3,309,2,"8,985","20,538"
Paraguay,124,5,5,,18,101,1,17,0.7,"2,039",286
Gibraltar,123,3,,,60,63,1,"3,651",,"1,511","44,849"
Cambodia,119,2,,,62,57,1,7,,"5,768",345
Rwanda,113,3,,,7,106,,9,,806,62
Trinidad and Tobago,109,2,8,,1,100,,78,6,987,705
El Salvador,103,10,6,1,14,83,3,16,0.9,,
Guatemala,95,8,3,,17,75,3,5,0.2,"1,134",63
Madagascar,93,,,,11,82,1,3,,,
Monaco,84,3,1,,5,78,4,"2,141",25,,
French Guiana,83,,,,43,40,1,278,,,
Aruba,82,5,,,20,62,,768,,"1,008","9,441"
Liechtenstein,78,,1,,55,22,,"2,046",26,900,"23,605"
Mali,74,15,7,,22,45,,4,0.3,,
Togo,73,3,3,,24,46,,9,0.4,"1,747",211
Barbados,66,3,3,,11,52,4,230,10,694,"2,415"
Jamaica,63,,4,,12,47,,21,1,907,306
Congo,60,15,5,,5,50,,11,0.9,,
Ethiopia,56,1,2,,4,50,2,0.5,0.02,"2,790",24
Uganda,53,,,,,53,,1,,"3,310",72
French Polynesia,51,,,,,51,,182,,744,"2,649"
Bermuda,48,9,4,1,25,19,,771,64,354,"5,684"
Cayman Islands,45,,1,,6,38,,685,15,479,"7,288"
Macao,45,,,,10,35,1,69,,,
Gabon,44,10,1,,1,42,,20,0.4,,
Sint Maarten,43,3,6,,1,36,2,"1,003",140,112,"2,612"
Bahamas,41,1,8,1,5,28,1,104,20,,
Zambia,39,,1,,24,14,1,2,0.05,"1,239",67
Guyana,37,,6,,8,23,4,47,8,145,184
Guinea-Bissau,36,3,,,,36,,18,,"1,500",762
Eritrea,33,,,,,33,,9,,,
Saint Martin,32,,2,,7,23,6,828,52,,
Liberia,31,,4,,3,24,,6,0.8,,
Haiti,30,3,2,1,,28,,3,0.2,257,23
Benin,26,,1,,5,20,,2,0.08,,
Tanzania,25,,1,,5,19,,0.4,0.02,,
Libya,24,3,1,,8,15,,3,0.1,492,72
Myanmar,23,1,3,,2,18,,0.4,0.06,"1,246",23
Angola,19,,2,,2,15,,0.6,0.06,,
Antigua and Barbuda,19,,2,,,17,1,194,20,40,408
Syria,19,,2,,4,13,,1,0.1,,
Maldives,19,,,,13,6,,35,,,
Equatorial Guinea,18,,,,3,15,,13,,854,609
New Caledonia,18,,,,1,17,,63,,"2,320","8,126"
Mozambique,17,,,,1,16,,0.5,,483,15
Laos,16,1,,,,16,,2,,903,124
Mongolia,16,,,,4,12,,5,,,
Namibia,16,,,,3,13,,6,,362,142
Sudan,15,1,2,,2,11,,0.3,0.05,,
Dominica,15,,,,1,14,,208,,293,"4,070"
Fiji,15,,,,,15,,17,,,
Curaçao,14,,1,,7,6,,85,6,,
Saint Lucia,14,,,,1,13,,76,,,
Botswana,13,7,1,,,12,,6,0.4,"1,154",491
Somalia,12,,1,,1,10,,0.8,0.06,,
Grenada,12,,,,,12,2,107,,45,400
St. Vincent Grenadines,12,4,,,1,11,,108,,56,505
Eswatini,12,,,,7,5,,10,,,
Zimbabwe,11,,3,,,8,,0.7,0.2,371,25
Chad,11,1,,,2,9,,0.7,,,
Greenland,11,,,,11,0,,194,,770,"13,564"
Saint Kitts and Nevis,11,,,,,11,,207,,183,"3,440"
Seychelles,11,,,,,11,,112,,,
Suriname,10,,1,,4,5,,17,2,,
MS Zaandam,9,,2,,,7,,,,,
Belize,9,1,1,,,8,1,23,3,364,915
Nepal,9,,,,1,8,,0.3,,"2,895",99
Montserrat,9,,,,,9,1,"1,803",,36,"7,212"
Malawi,8,,1,,,7,1,0.4,0.05,,
Turks and Caicos,8,,1,,,7,,207,26,61,"1,576"
CAR,8,,,,,8,,2,,,
Vatican City,8,,,,2,6,,"9,988",,,
Cabo Verde,7,,1,,1,5,,13,2,,
Mauritania,7,1,1,,2,4,,2,0.2,258,55
Nicaragua,7,1,1,,,6,,1,0.2,,
Sierra Leone,7,,,,,7,,0.9,,,
St. Barth,6,,,,1,5,,607,,,
Bhutan,5,,,,2,3,,6,,"1,166","1,511"
Falkland Islands,5,,,,1,4,,"1,437",,137,"39,368"
Gambia,4,,1,,2,1,,2,0.4,,
Sao Tome and Principe,4,,,,,4,,18,,19,87
Western Sahara,4,,,,,4,,7,,,
Anguilla,3,,,,,3,,200,,,
British Virgin Islands,3,,,,,3,,99,,,
Burundi,3,,,,,3,,0.3,,,
South Sudan,3,1,,,,3,,0.3,,,
Caribbean Netherlands,2,,,,,2,,76,,10,381
Papua New Guinea,2,,,,,2,,0.2,,72,8
Saint Pierre Miquelon,1,,,,,1,,173,,,
Timor-Leste,1,,,,,1,,0.8,,,
