state,total_cases,new_cases,total_deaths,new_deaths,active_cases,cases_per_1M,deaths_per_1M,total_tests,test_per_1M
USA Total,"738,792","29,057","39,014","1,867","631,509","2,232",118,"3,722,145","11,245"
New York,"241,041","7,090","17,671",540,"199,483","12,286",901,"596,532","30,407"
New Jersey,"81,420","2,953","4,070",230,"76,079","9,167",458,"164,278","18,496"
Massachusetts,"36,372","1,970","1,560",156,"26,694","5,325",228,"156,806","22,958"
Pennsylvania,"31,731","1,810","1,102",145,"29,979","2,481",86,"153,965","12,037"
Michigan,"30,791",768,"2,308",81,"25,246","3,092",232,"102,366","10,280"
California,"30,718","1,543","1,147",106,"28,221",785,29,"246,400","6,294"
Illinois,"29,160","1,585","1,259",125,"27,851","2,274",98,"137,404","10,717"
Florida,"25,492",739,748,22,"24,058","1,238",36,"253,183","12,292"
Louisiana,"23,580",462,"1,267",54,"22,263","5,056",272,"137,999","29,591"
Texas,"18,679",919,469,30,"13,404",670,17,"176,239","6,320"
Georgia,"17,841",409,677,9,"17,133","1,733",66,"74,208","7,206"
Connecticut,"17,550",741,"1,086",50,"16,399","4,900",303,"58,213","16,254"
Maryland,"12,308",736,463,38,"11,074","2,050",77,"65,370","10,889"
Washington,"11,802",643,624,25,"9,463","1,618",86,"135,706","18,604"
Indiana,"10,641",487,545,26,"10,082","1,603",82,"56,873","8,569"
Ohio,"10,222","1,115",451,33,"9,651",878,39,"83,131","7,141"
Colorado,"9,433",386,411,20,"8,524","1,705",74,"44,606","8,065"
Virginia,"8,053",562,258,27,"6,685",957,31,"51,931","6,172"
Tennessee,"6,762",173,145,3,"3,383","1,017",22,"90,586","13,620"
North Carolina,"6,366",335,185,13,"5,298",627,18,"76,211","7,504"
Missouri,"5,517",234,184,2,"5,149",906,30,"53,525","8,789"
Alabama,"4,723",151,147,3,"4,556",971,30,"42,538","8,744"
Arizona,"4,719",212,177,8,"4,472",679,25,"51,045","7,348"
Rhode Island,"4,491",314,137,19,"4,344","4,250",130,"32,826","31,067"
South Carolina,"4,246",160,119,3,"1,389",857,24,"38,833","7,836"
Wisconsin,"4,199",154,211,6,"3,901",727,37,"48,161","8,335"
Mississippi,"3,974",181,152,12,"3,822","1,330",51,"38,765","12,970"
Nevada,"3,626",102,151,9,"2,306","1,241",52,"35,955","12,301"
Utah,"2,931",126,25,2,"2,463",962,8,"59,944","19,684"
Kentucky,"2,707",185,144,7,"2,257",610,32,"32,225","7,258"
District Of Columbia,"2,666",190,91,5,"1,967","3,895",133,"13,268","19,384"
Oklahoma,"2,570",105,139,3,897,656,35,"35,536","9,070"
Delaware,"2,538",215,67,6,"2,005","2,673",71,"14,794","15,581"
Iowa,"2,513",181,74,10,"1,432",802,24,"22,947","7,325"
Minnesota,"2,213",142,121,10,974,400,22,"44,368","8,027"
Oregon,"1,844",59,72,2,"1,772",452,18,"37,583","9,207"
New Mexico,"1,798",87,53,2,"1,280",859,25,"36,632","17,507"
Kansas,"1,790",85,86,2,"1,464",615,30,"17,676","6,077"
Arkansas,"1,739",39,38,1,998,581,13,"24,141","8,072"
Idaho,"1,668",13,44,1,"1,171",988,26,"16,183","9,588"
South Dakota,"1,542",131,7,,983,"1,784",8,"11,660","13,491"
New Hampshire,"1,342",55,38,1,791,999,28,"13,424","9,991"
Nebraska,"1,287",149,28,4,"1,237",676,15,"14,652","7,692"
Maine,847,20,32,3,433,635,24,"14,923","11,197"
West Virginia,825,50,18,2,582,451,10,"19,794","10,822"
Vermont,803,24,38,3,765,"1,285",61,"12,566","20,106"
Hawaii,574,21,9,,155,404,6,"23,617","16,608"
North Dakota,528,89,9,,336,702,12,"12,963","17,233"
Montana,426,4,10,2,173,409,10,"10,569","10,146"
Wyoming,422,10,2,,214,725,3,"7,280","12,512"
Alaska,314,5,9,,158,425,12,"9,655","13,074"
Guam,136,1,5,,21,,,605,
Northern Mariana Islands,13,,2,,11,,,45,
Puerto Rico,"1,118",50,60,2,"1,054",330,18,"10,933","3,228"
United States Virgin Islands,53,2,3,1,4,,,458,
US Military,"4,849",,19,,"3,771",,,,
Navajo Nation,"1,127",85,44,3,"1,083",,,,
Grand Princess Ship,103,,3,,100,,,,
Wuhan Repatriated,3,,,,3,,,3,
Diamond Princess Ship,46,,,,46,,,46,
