state,total_cases,new_cases,total_deaths,new_deaths,active_cases,cases_per_1M,deaths_per_1M,total_tests,test_per_1M
USA Total,"677,570","29,567","34,617","2,174","585,445","2,047",105,"3,398,140","10,266"
New York,"226,198","7,636","16,106",606,"186,205","11,530",821,"550,579","28,064"
New Jersey,"75,317","4,287","3,518",362,"70,528","8,480",396,"154,010","17,340"
Massachusetts,"32,181","2,263","1,245",137,"22,818","4,712",182,"140,773","20,610"
Michigan,"29,263","1,204","2,093",172,"26,727","2,939",210,"97,093","9,751"
Pennsylvania,"27,735",982,837,58,"26,248","2,168",65,"141,470","11,060"
California,"27,634",796,951,87,"25,333",706,24,"227,600","5,814"
Illinois,"25,733","1,140","1,072",124,"24,611","2,007",84,"122,589","9,561"
Florida,"23,340",821,668,54,"22,028","1,133",32,"220,892","10,724"
Louisiana,"22,532",581,"1,156",53,"21,326","4,831",248,"126,586","27,143"
Texas,"16,638",629,404,29,"12,557",597,14,"158,547","5,686"
Georgia,"16,368","1,108",617,41,"15,720","1,590",60,"67,939","6,598"
Connecticut,"15,884","1,129",971,103,"14,848","4,435",271,"53,122","14,832"
Washington,"11,034",124,581,14,"8,738","1,513",80,"122,854","16,842"
Maryland,"10,784",752,392,43,"9,656","1,796",65,"58,843","9,802"
Indiana,"9,542",587,477,41,"9,051","1,438",72,"51,115","7,701"
Colorado,"8,675",395,374,17,"7,803","1,568",68,"41,830","7,563"
Ohio,"8,414",623,389,28,"7,905",723,33,"74,840","6,429"
Virginia,"6,889",389,208,13,"5,730",819,25,"46,444","5,520"
Tennessee,"6,262",183,141,6,"3,925",941,21,"85,049","12,787"
North Carolina,"5,608",227,148,16,"4,577",552,15,"70,917","6,983"
Missouri,"5,178",283,168,9,"4,826",850,28,"50,432","8,281"
Alabama,"4,404",163,137,14,"4,247",905,28,"36,363","7,475"
Arizona,"4,234",272,150,8,"4,014",609,22,"47,398","6,823"
South Carolina,"3,931",275,109,2,"3,822",793,22,"36,284","7,321"
Wisconsin,"3,875",154,197,15,"3,591",671,34,"44,849","7,761"
Rhode Island,"3,838",309,105,18,"3,723","3,632",99,"28,064","26,560"
Mississippi,"3,624",264,129,7,"3,495","1,213",43,"37,733","12,625"
Nevada,"3,321",110,142,6,"2,010","1,136",49,"34,504","11,805"
Utah,"2,683",141,21,1,"2,444",881,7,"49,678","16,313"
Kentucky,"2,429",138,129,7,"1,994",547,29,"29,747","6,699"
Oklahoma,"2,357",94,131,8,"1,071",602,33,"30,795","7,860"
District Of Columbia,"2,350",153,81,9,"1,717","3,433",118,"12,150","17,750"
Iowa,"2,141",146,60,7,"1,340",683,19,"20,675","6,600"
Delaware,"2,075",61,52,6,"1,645","2,185",55,"13,350","14,060"
Minnesota,"1,912",103,94,7,798,346,17,"41,675","7,540"
Oregon,"1,736",73,64,6,"1,672",425,16,"33,351","8,170"
Arkansas,"1,620",21,37,3,"1,035",542,12,"22,675","7,582"
Idaho,"1,609",22,41,,"1,544",953,24,"15,398","9,123"
Kansas,"1,603",109,80,4,"1,283",551,28,"16,122","5,543"
New Mexico,"1,597",113,44,8,"1,258",763,21,"34,488","16,482"
South Dakota,"1,311",143,7,1,931,"1,517",8,"9,859","11,407"
New Hampshire,"1,211",72,34,2,812,901,25,"12,166","9,055"
Nebraska,"1,066",114,24,3,"1,020",560,13,"13,173","6,916"
Maine,796,26,27,3,436,597,20,"14,872","11,158"
Vermont,768,9,35,5,733,"1,229",56,"11,507","18,412"
West Virginia,739,21,13,1,579,404,7,"18,306","10,008"
Hawaii,541,11,9,,158,380,6,"21,985","15,460"
Montana,415,11,7,,190,398,7,"9,936","9,538"
Wyoming,401,113,2,,223,689,3,"6,129","10,534"
North Dakota,393,28,9,,221,522,12,"11,704","15,560"
Alaska,300,7,9,,181,406,12,"8,735","11,828"
Guam,135,,5,,57,,,605,
Northern Mariana Islands,13,,2,,11,,,45,
Puerto Rico,"1,043",69,56,5,983,308,17,"9,829","2,902"
United States Virgin Islands,51,,1,,4,,,417,
US Military,"4,766",,17,,"4,011",,,,
Navajo Nation,921,83,38,5,883,,,,
Grand Princess Ship,103,,3,,100,,,,
Wuhan Repatriated,3,,,,3,,,3,
Diamond Princess Ship,46,,,,46,,,46,
